Time,GPS_Lat,GPS_Lon,GPS_Alt,Target_Lat,Target_Lon,Target_Alt
1751173450.663203,36.0757713,136.213294,0.519,36.0757701,136.213294,0.5
1751173450.7632616,36.0757713,136.213294,0.519,36.0757701,136.213294,0.5
1751173450.8633184,36.0757713,136.213294,0.519,36.0757701,136.213294,0.5
1751173450.9633753,36.0757706,136.2132938,0.513,36.0757701,136.213294,0.5
1751173451.0634317,36.0757706,136.2132938,0.513,36.0757701,136.213294,0.5
1751173451.1634877,36.0757706,136.2132938,0.513,36.0757701,136.213294,0.5
1751173451.2635448,36.0757706,136.2132938,0.513,36.0757701,136.213294,0.5
1751173451.3636014,36.0757706,136.2132938,0.513,36.0757701,136.213294,0.5
1751173451.463658,36.0757706,136.2132938,0.513,36.0757701,136.213294,0.5
1751173451.5637157,36.0757706,136.2132938,0.513,36.0757701,136.213294,0.5
1751173451.663772,36.0757706,136.2132938,0.513,36.0757701,136.213294,0.5
1751173451.7638288,36.0757706,136.2132938,0.513,36.0757701,136.213294,0.5
1751173451.863886,36.0757706,136.2132938,0.513,36.075771,136.213294,0.5
1751173451.9639428,36.0757704,136.213294,0.512,36.075771,136.213294,0.5
1751173452.0639992,36.0757704,136.213294,0.512,36.075771,136.213294,0.5
1751173452.1640558,36.0757704,136.213294,0.512,36.0757719,136.213294,0.5
1751173452.2641132,36.0757704,136.213294,0.512,36.0757719,136.213294,0.5
1751173452.3641694,36.0757704,136.213294,0.512,36.0757719,136.213294,0.5
1751173452.4642265,36.0757704,136.213294,0.512,36.0757719,136.213294,0.5
1751173452.5642831,36.0757704,136.213294,0.512,36.0757728,136.213294,0.5
1751173452.6643398,36.0757704,136.213294,0.512,36.0757728,136.213294,0.5
1751173452.7643974,36.0757704,136.213294,0.512,36.0757728,136.213294,0.5
1751173452.8644547,36.0757704,136.213294,0.512,36.0757728,136.213294,0.5
1751173452.964511,36.0757705,136.2132942,0.511,36.0757737,136.213294,0.5
1751173453.064567,36.0757705,136.2132942,0.511,36.0757737,136.213294,0.5
1751173453.1646233,36.0757705,136.2132942,0.511,36.0757737,136.213294,0.5
1751173453.2646801,36.0757705,136.2132942,0.511,36.0757737,136.213294,0.5
1751173453.3647366,36.0757705,136.2132942,0.511,36.0757737,136.213294,0.5
1751173453.4647927,36.0757705,136.2132942,0.511,36.0757737,136.213294,0.5
1751173453.5648491,36.0757705,136.2132942,0.511,36.0757737,136.213294,0.5
1751173453.6649055,36.0757705,136.2132942,0.511,36.0757737,136.213294,0.5
1751173453.764962,36.0757705,136.2132942,0.511,36.0757737,136.213294,0.5
1751173453.8650184,36.0757705,136.2132942,0.511,36.0757737,136.213294,0.5
1751173453.9650755,36.0757715,136.213294,0.524,36.0757737,136.213294,0.5
1751173454.0651321,36.0757715,136.213294,0.524,36.0757737,136.213294,0.5
1751173454.1651886,36.0757715,136.213294,0.524,36.0757737,136.213294,0.5
1751173454.2652454,36.0757715,136.213294,0.524,36.0757737,136.213294,0.5
1751173454.3653018,36.0757715,136.213294,0.524,36.0757737,136.213294,0.5
1751173454.4653585,36.0757715,136.213294,0.524,36.0757737,136.213294,0.5
1751173454.565415,36.0757715,136.213294,0.524,36.0757737,136.213294,0.5
1751173454.6654713,36.0757715,136.213294,0.524,36.0757737,136.213294,0.5
1751173454.7655282,36.0757715,136.213294,0.524,36.0757737,136.213294,0.5
1751173454.8655849,36.0757715,136.213294,0.524,36.0757737,136.213294,0.5
1751173454.9656413,36.075773,136.213294,0.518,36.0757737,136.213294,0.5
1751173455.065698,36.075773,136.213294,0.518,36.0757737,136.213294,0.5
1751173455.165754,36.075773,136.213294,0.518,36.0757746,136.213294,0.5
1751173455.2658112,36.075773,136.213294,0.518,36.0757746,136.213294,0.5
1751173455.3658679,36.075773,136.213294,0.518,36.0757755,136.213294,0.5
1751173455.465924,36.075773,136.213294,0.518,36.0757755,136.213294,0.5
1751173455.5659814,36.075773,136.213294,0.518,36.0757755,136.213294,0.5
1751173455.6660385,36.075773,136.213294,0.518,36.0757765,136.213294,0.5
1751173455.7660966,36.075773,136.213294,0.518,36.0757765,136.213294,0.5
1751173455.8661535,36.075773,136.213294,0.518,36.0757765,136.213294,0.5
1751173455.96621,36.0757742,136.213294,0.522,36.0757765,136.213294,0.5
1751173456.066266,36.0757742,136.213294,0.522,36.0757765,136.213294,0.5
1751173456.1663296,36.0757742,136.213294,0.522,36.0757765,136.213294,0.5
1751173456.2663875,36.0757742,136.213294,0.522,36.0757765,136.213294,0.5
1751173456.3664482,36.0757742,136.213294,0.522,36.0757765,136.213294,0.5
1751173456.4665067,36.0757742,136.213294,0.522,36.0757765,136.213294,0.5
